"bic","name","correspondent_account","payment_city","inn","kpp","swift","registration_number","treasury_accounts","opf_type","address","status","actuality_date","registration_date","liquidation_date","is_archived","description"
"044525187",Банк ВТБ (ПАО),"30101810700000000187",г Москва,"7702070139","784201001",VTBRRUMMXXX,"1000","",BANK,"г Москва, Пресненская наб, д 12",ACTIVE,2023-04-17 03:00:00.000,1990-10-17 03:00:00.000,,false,autoloaded from bankcreate.py
"048702640",КОМИ ОТДЕЛЕНИЕ N8617 ПАО СБЕРБАНК,"30101810400000000640",г Сыктывкар,"7707083893","110102001","","1481/596","",BANK_BRANCH,"г Сыктывкар, ул Морозова, д 89",ACTIVE,2023-04-17 03:00:00.000,,,false,autoloaded from bankcreate.py
"040349722",КБ «Кубань Кредит» ООО,"30101810200000000722",г Краснодар,"2312016641","231001001",KUKRRU22XXX,"2518","",BANK,"350000, г Краснодар, ул. им. Орджоникидзе, 46/ ул. Красноармейская, 32",ACTIVE,2023-04-17 03:00:00.000,1993-09-28 03:00:00.000,,false,autoloaded from bankcreate.py
"044525402",Банк ИПБ (АО),"30101810100000000402",г Москва,"7724096412","772401001",INTPRUMM,"600","",BANK,"г Москва, Старокаширское шоссе, д 2 к 1 стр 1",ACTIVE,2023-04-17 03:00:00.000,1990-10-26 03:00:00.000,,false,autoloaded from bankcreate.py
"015773997",УФК по Пермскому краю,"",г Пермь,"","","","","40102810145370000048",TREASURY,"г Пермь, ул Петропавловская, зд 55А",ACTIVE,2023-04-17 03:00:00.000,,,false,autoloaded from bankcreate.py
"004525987",УФК ПО МОСКОВСКОЙ ОБЛАСТИ,"",г Москва,"","","","","40102810845370000004",TREASURY,"г Москва, ул Дербеневская, д 5",ACTIVE,2023-04-17 03:00:00.000,,,false,autoloaded from bankcreate.py
"046015999",ФИЛИАЛ БАНКА ВТБ (ПАО) В Г. РОСТОВЕ-НА-ДОНУ,"30101810300000000999",г Ростов-на-Дону,"7702070139","616443001",VTBRRUM2RND,"1000/30","",BANK_BRANCH,"г Ростов-на-Дону, Ворошиловский пр-кт, д 62/284",ACTIVE,2023-04-17 03:00:00.000,,,false,autoloaded from bankcreate.py
"044525985",ПАО Банк «ФК Открытие»,"30101810300000000985",г Москва,"7706092528","770501001",JSNMRUMMXXX,"2209","",BANK,"г Москва, ул Летниковская, д 2 стр 4",ACTIVE,2023-04-17 03:00:00.000,1992-12-15 03:00:00.000,,false,autoloaded from bankcreate.py
"047162812","Ф-Л ЗАПАДНО-СИБИРСКИЙ ПАО БАНКА ""ФК ОТКРЫТИЕ""","30101810465777100812",г Ханты-Мансийск,"7706092528","860143001","","2209/43","",BANK_BRANCH,"г Ханты-Мансийск, ул Мира, д 38",ACTIVE,2023-04-17 03:00:00.000,,,false,autoloaded from bankcreate.py
"040349602",КРАСНОДАРСКОЕ ОТДЕЛЕНИЕ N8619 ПАО СБЕРБАНК,"30101810100000000602",г Краснодар,"7707083893","231043001","","1481/638","",BANK_BRANCH,"г Краснодар, ул Красноармейская, д 34",ACTIVE,2023-04-17 03:00:00.000,,,false,autoloaded from bankcreate.py
"018702501",УФК по Республике Коми,"",г Сыктывкар,"","","","","40102810245370000074",TREASURY,"г Сыктывкар, ул Громова, д 45",ACTIVE,2023-04-17 03:00:00.000,,,false,autoloaded from bankcreate.py
