"id","name","inn","opf_short","name_full_with_opf","ca_type","branch_type","ogrn","ogrn_date","fio_surname","fio_name","fio_patronymic","management_post","management_disqualified","management_name","email","address_full","address","status","actuality_date","registration_date","liquidation_date","is_archived","description","group_name"
108,Максимова Ольга Викторовна,"773003033243",ИП,Индивидуальный предприниматель Максимова Ольга Викторовна,INDIVIDUAL,,"317774600322726",2017-07-06 03:00:00.000,Максимова,Ольга,Викторовна,,,,,ГОРОД МОСКВА,г Москва,ACTIVE,2020-06-30 03:00:00.000,2017-07-06 03:00:00.000,,false,autoloaded by counteragentcreate.py,
1,СВЕТОТЕХНИЧЕСКАЯ КОМПАНИЯ МТ ЭЛЕКТРО,"6671295392",ООО,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СВЕТОТЕХНИЧЕСКАЯ КОМПАНИЯ ""МТ ЭЛЕКТРО""",LEGAL,MAIN,"1096671011403",2009-09-08 03:00:00.000,,,,Директор,,Белых Борис Александрович,,"620014, ОБЛАСТЬ СВЕРДЛОВСКАЯ, Г. ЕКАТЕРИНБУРГ, УЛ. ХОХРЯКОВА, Д.72, ЭТАЖ 3, КВ.231","г Екатеринбург, ул Хохрякова, д 72, кв 231",ACTIVE,2022-04-22 03:00:00.000,2009-09-08 03:00:00.000,,false,autoloaded by counteragentcreate.py,
2,"АДВОКАТСКОЕ БЮРО ВЕГАС-ЛЕКС, ГОРОД МОСКВА","7705694047",АБ,"АДВОКАТСКОЕ БЮРО ""ВЕГАС-ЛЕКС"", ГОРОД МОСКВА",LEGAL,MAIN,"1057748759474",2005-10-25 03:00:00.000,,,,Управляющий партнер,,Чумаченко Игорь Вячеславович,,"115054, ГОРОД МОСКВА, НАБ. КОСМОДАМИАНСКАЯ, Д.52, К.5","г Москва, Космодамианская наб, д 52 стр 5",ACTIVE,2022-11-04 03:00:00.000,2005-10-25 03:00:00.000,,false,autoloaded by counteragentcreate.py,
3,АБД,"7701034434",ООО,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АБД""",LEGAL,MAIN,"1037745010160",2003-09-29 03:00:00.000,,,,Генеральный директор,,Левянт Борис Владимирович,,"105064, Г.Москва, ПЕР. НИЖНИЙ СУСАЛЬНЫЙ, Д. 5, СТР. 19, ПОМЕЩ. XIII","г Москва, Нижний Сусальный пер, д 5 стр 19, помещ XIII",ACTIVE,2022-07-21 03:00:00.000,1997-06-26 03:00:00.000,,false,autoloaded by counteragentcreate.py,
4,АВАНГАРД ПАРТНЕРС,"9703093284",ООО,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АВАНГАРД ПАРТНЕРС""",LEGAL,MAIN,"1227700354562",2022-06-20 03:00:00.000,,,,Генеральный директор,,Шалаев Александр Александрович,,"125039, Г.Москва, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ ПРЕСНЕНСКИЙ, НАБ ПРЕСНЕНСКАЯ, Д. 10, СТР. 2, ПОМЕЩ. 5Н, ОФИС 297","г Москва, Пресненская наб, д 10 стр 2, помещ 5Н офис 297",ACTIVE,2022-06-23 03:00:00.000,2022-06-20 03:00:00.000,,false,autoloaded by counteragentcreate.py,
5,АВАНГАРДКОПИР,"7731447051",ООО,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АВАНГАРДКОПИР""",LEGAL,MAIN,"1137746401760",2013-05-06 03:00:00.000,,,,Генеральный директор,,Шелепин Василий Александрович,,"121471, ГОРОД МОСКВА, ПЕР. 2-Й ПЕТРА АЛЕКСЕЕВА, Д. 2, СТР. 1, КОМ. 19","г Москва, пер 2-й Петра Алексеева, д 2 стр 1, ком 19",ACTIVE,2020-09-17 03:00:00.000,2013-05-06 03:00:00.000,,false,autoloaded by counteragentcreate.py,
6,АВИАПРОМТЕСТ,"9723041196",ООО,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АВИАПРОМТЕСТ""",LEGAL,MAIN,"1187746090597",2018-01-29 03:00:00.000,,,,Генеральный директор,,Овчарук Александр Федорович,,"109129, Г.Москва, УЛ. 8-Я ТЕКСТИЛЬЩИКОВ, Д. 8","г Москва, ул 8-я Текстильщиков, д 8",ACTIVE,2023-04-05 03:00:00.000,2018-01-29 03:00:00.000,,false,autoloaded by counteragentcreate.py,
7,АВСМЕДИЦИНА,"7701271731",ООО,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АВСМЕДИЦИНА""",LEGAL,MAIN,"1027739053847",2002-08-08 03:00:00.000,,,,Генеральный директор,,Гречишников Андрей Владимирович,,"101000, Г.Москва, Б-Р ЧИСТОПРУДНЫЙ, Д.12, К.2","г Москва, Чистопрудный б-р, д 12 к 2",ACTIVE,2022-11-02 03:00:00.000,2001-08-21 03:00:00.000,,false,autoloaded by counteragentcreate.py,
8,АНО ДЕТСКИЙ СОЦИАЛЬНО-РЕАБИЛИТАЦИОННЫЙ ЦЕНТР ЛЮБАВА,"7720847770",АНО,"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""ДЕТСКИЙ СОЦИАЛЬНО-РЕАБИЛИТАЦИОННЫЙ ЦЕНТР ""ЛЮБАВА""",LEGAL,MAIN,"1217700139910",2021-03-26 03:00:00.000,,,,Директор,,Малахова Светлана Борисовна,,"111141, Г.Москва, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ ПЕРОВО, УЛ ПЕРОВСКАЯ, Д. 35, КВ. 28","г Москва, ул Перовская, д 35, кв 28",ACTIVE,2021-03-30 03:00:00.000,2021-03-26 03:00:00.000,,false,autoloaded by counteragentcreate.py,
9,ЧАСТНОЕ ОХРАННОЕ ПРЕДПРИЯТИЕ АГЕНТСТВО ЛУКОМ - А,"7708234591",ООО,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЧАСТНОЕ ОХРАННОЕ ПРЕДПРИЯТИЕ АГЕНТСТВО ""ЛУКОМ - А""",LEGAL,MAIN,"1047708018368",2004-05-27 03:00:00.000,,,,Генеральный директор,,Викулов Владимир Валерьевич,,"119121, Г.Москва, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ ХАМОВНИКИ, УЛ БУРДЕНКО, Д. 24, ЭТАЖ 4, КОМ. 6","г Москва, ул Бурденко, д 24, ком 6, 6",ACTIVE,2023-03-17 03:00:00.000,2004-05-27 03:00:00.000,,false,autoloaded by counteragentcreate.py,
10,ЧАСТНОЕ ОХРАННОЕ ПРЕДПРИЯТИЕ АГЕНТСТВО ЛУКОМ-А-ВОЛГОГРАД,"3445071202",ООО,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЧАСТНОЕ ОХРАННОЕ ПРЕДПРИЯТИЕ АГЕНТСТВО ""ЛУКОМ-А-ВОЛГОГРАД""",LEGAL,MAIN,"1043400440797",2004-12-09 03:00:00.000,,,,Генеральный директор,,Дорогавцев Василий Андреевич,,"400120, Волгоградская область, Г. ВОЛГОГРАД, УЛ. ЕЛЕЦКАЯ, Д.587, -, -","г Волгоград, ул Елецкая, д 587",ACTIVE,2023-03-23 03:00:00.000,2004-12-09 03:00:00.000,,false,autoloaded by counteragentcreate.py,
